Gene Systematic Name,Gene Standard Name,WT_1.rpkm,WT_2.rpkm,WT_3.rpkm,r0_1.rpkm,r0_2.rpkm,r0_3.rpkm,log2 (r0/WT),P value (r0/WT),FDR (r0/WT)
YPR046W,MCM16,19.26506148,20.22794607,21.24223602,18.43394717,22.86076573,18.46795992,-0.100988784,0.383301585,0.473791343
YPR045C,THP3,32.69743132,36.04503879,32.95929105,32.21436371,29.48536359,29.3070798,-0.24702359,0.000420999,0.001008417
YPR044C,OPI11,2408.426559,2337.458671,2347.627118,1724.619748,1813.736815,1910.949132,-0.4663156,1.60E-11,1.69E-10
YPR043W,RPL43A,3049.182785,2960.681548,2980.308555,2183.027202,2302.811903,2426.750471,-0.464991782,1.94E-11,2.03E-10
YPR042C,PUF2,17.84703837,19.27337917,19.78923549,28.17444757,27.95580176,27.68927552,0.474175108,2.23E-09,1.40E-08
YPR041W,TIF5,368.5605556,379.0168114,376.2073248,341.7066255,344.5520069,330.7477455,-0.229337664,1.70E-07,7.33E-07
YPR040W,TIP41,31.3529432,33.97861219,30.48885641,41.31600807,39.84581796,38.75705124,0.236575461,0.000851084,0.001940743
YPR039W,-,26.007833,28.85028999,32.92546583,38.59088714,30.62261356,33.79815966,0.147005314,0.2339926,0.311494725
YPR038W,IRC16,49.22223209,57.60598886,52.78695651,78.33320402,66.06452367,68.80062155,0.329916721,0.000904229,0.002052736
YPR037C,ERV2,57.09108068,64.66767173,62.49746192,91.59565078,82.33984266,82.16153357,0.389438479,3.55E-06,1.20E-05
YPR036W-A,SPO24,916.6202931,874.0219,945.5294116,1415.68709,1218.348882,1432.479809,0.485146983,4.50E-09,2.65E-08
YPR036W,VMA13,295.3868843,300.5746219,300.6818553,278.5877027,283.2384767,293.6943529,-0.153490684,7.76E-05,0.000210349
YPR035W,GLN1,1078.843443,1083.90709,1128.804406,1037.753203,1025.994897,1009.766748,-0.184280471,1.21E-06,4.44E-06
YPR034W,ARP7,83.11382802,89.37475115,83.05803164,87.38701284,77.98589726,84.38080431,-0.120701704,0.014921583,0.026790426
YPR033C,HTS1,279.2764745,276.7179191,282.5489229,244.9498358,244.3788635,236.2440864,-0.294094614,3.28E-09,1.99E-08
YPR032W,SRO7,23.52796871,23.4117583,23.44041712,24.9341886,23.62651594,22.47048993,-0.071596966,0.145401097,0.205948761
YPR031W,NTO1,19.84121286,20.5448365,21.32164625,22.79992287,19.74260117,20.78211042,-0.048489449,0.421493509,0.511767379
YPR030W,CSR2,3.485568165,3.682477621,3.896303185,7.16564894,7.19100326,8.143634265,0.93677316,1.24E-09,8.25E-09
YPR029C,APL4,57.95707573,60.60190408,58.51432746,57.29330509,58.11504675,57.19537884,-0.122554596,0.003150733,0.006453949
YPR028W,YOP1,346.7498194,328.21549,333.0453999,298.4095552,304.578655,318.0336639,-0.216620602,2.13E-05,6.33E-05
YPR027C,-,7.858481915,8.383903117,7.488270252,8.58912737,7.786573279,10.3297774,0.073553687,0.605063333,0.690863854
YPR026W,ATH1,6.609251292,6.053206978,6.600516572,11.67105138,11.04090769,11.87378159,0.757923325,2.81E-10,2.22E-09
YPR025C,CCL1,30.941449,30.78772729,31.02229088,32.21957565,31.46609239,28.6571478,-0.089845784,0.156116189,0.218519733
YPR024W,YME1,92.8483244,90.85805361,92.39804695,125.8702807,117.37371,118.2281189,0.302883343,4.16E-08,2.01E-07
YPR023C,EAF3,79.57141316,85.64966606,82.63335495,86.61501275,91.47072824,88.72524259,0.021073565,0.622168289,0.704961534
YPR022C,-,34.98630302,35.17388118,36.87232574,42.99204072,40.28475777,39.53909865,0.113711363,0.010837249,0.020027551
YPR021C,AGC1,23.98425484,26.5148427,26.05055611,28.9196305,28.98427065,31.25945801,0.133364994,0.015141866,0.027117602
YPR020W,ATP20,158.8038948,149.0951674,164.5907046,106.8298491,117.054897,121.5286977,-0.537039132,2.16E-08,1.10E-07
YPR019W,MCM4,42.1603701,44.57732875,41.96592495,44.46380288,41.17557446,40.63365839,-0.113637105,0.014490436,0.026088643
YPR018W,RLF2,42.25618264,43.41529581,39.53785545,40.38303085,38.95002588,32.68646651,-0.244548507,0.000692954,0.001606372
YPR017C,DSS4,41.01852674,45.61393754,43.78260869,31.06461467,36.31206088,41.01749836,-0.355859982,0.001748509,0.003763176
